,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
284,108,10-Jun-18,ARH/J618/107,107,10-Jun-18,,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
285,109,11-Jun-18,ARH/J618/108,108,11-Jun-18,14-May-18,Conductivity Float Level Switch,1,11700,11700,11115,1000.35,1000.35,2000.7,13465.7,13465
286,110,12-Jun-18,ARH/J618/109,109,12-Jun-18,10-Jun-18,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17235,17235
287,111,13-Jun-18,ARH/J618/110,110,13-Jun-18,,By-Pass Level Indicator,2,3500,7000,7000,630,630,1260,8260,8260
288,112,14-Jun-18,ARH/J618/111,111,14-Jun-18,17-May-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
289,113,15-Jun-18,ARH/J618/112,112,15-Jun-18,18-May-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
290,114,15-Jun-18,ARH/J618/113,113,15-Jun-18,,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6969,6969
291,115,15-Jun-18,ARH/J618/114,114,15-Jun-18,20-May-18,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
292,116,18-Jun-18,ARH/J618/115,115,18-Jun-18,15-Jun-18,Tubuler Type Level Gauge,3,2900,8700,8700,783,783,1566,10391,10391
293,117,2-Jul-18,ARH/J718/100,100,2-Jul-18,5-Jun-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
294,118,6-Jul-18,ARH/J718/101,101,6-Jul-18,6-Jun-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
295,119,7-Jul-18,ARH/J718/102,102,7-Jul-18,7-Jun-18,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
296,120,7-Jul-18,ARH/J718/103,103,7-Jul-18,8-Jun-18,Capicitance Type,5,35000,175000,175000,15750,15750,31500,206950,206950
297,121,10-Jul-18,ARH/J718/104,104,10-Jul-18,9-Jun-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
298,122,12-Jul-18,ARH/J718/105,105,12-Jul-18,10-Jun-18,Float And Board Level Indicator,2,3520,7040,7040,633.6,633.6,1267.2,8332.2,8332
299,123,13-Jul-18,ARH/J718/106,106,13-Jul-18,11-Jul-18,Capicitance Type,2,35000,70000,70000,6300,6300,12600,83050,83050
300,124,14-Jul-18,ARH/J718/107,107,14-Jul-18,12-Jun-18,Float And Board Level Indicator,5,3520,17600,15840,1425.6,1425.6,2851.2,18716.2,18716
301,125,16-Jul-18,ARH/J718/108,108,16-Jul-18,13-Jun-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
302,126,16-Jul-18,ARH/J718/109,109,16-Jul-18,14-Jun-18,Capicitance Type,3,35000,105000,105000,9450,9450,18900,124350,124350
303,127,17-Jul-18,ARH/J718/110,110,17-Jul-18,14-Jun-18,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
304,128,18-Jul-18,ARH/J718/111,111,18-Jul-18,16-Jul-18,Conductivity Float Level Switch,1,11700,11700,11115,1000.35,1000.35,2000.7,13465.7,13465
305,129,19-Jul-18,ARH/J718/112,112,19-Jul-18,17-Jun-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
306,130,20-Jul-18,ARH/J718/113,113,20-Jul-18,18-Jun-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
307,131,21-Jul-18,ARH/J718/114,114,21-Jul-18,19-Jun-18,Float And Board Level Indicator,3,3520,10560,10560,950.4,950.4,1900.8,12485.8,12485
308,132,25-Jul-18,ARH/J718/115,115,25-Jul-18,22-Jun-18,Capicitance Type,2,35000,70000,70000,6300,6300,12600,83050,83050
309,133,2-Aug-18,ARH/A818/100,100,2-Aug-18,,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
310,134,2-Aug-18,ARH/A818/101,101,2-Aug-18,15-Jul-18,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41714.9,41714
311,135,2-Aug-18,ARH/A818/102,102,2-Aug-18,15-Jul-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
312,136,7-Aug-18,ARH/A818/103,103,7-Aug-18,17-Jul-18,Conductivity Float Level Switch,5,11700,58500,55575,5001.75,5001.75,10003.5,65928.5,65928
313,137,8-Aug-18,ARH/A818/104,104,8-Aug-18,,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
314,138,9-Aug-18,ARH/A818/105,105,9-Aug-18,9-Aug-18,Conductivity Float Level Switch,1,11700,11700,11115,1000.35,1000.35,2000.7,13465.7,13465
315,139,10-Aug-18,ARH/A818/106,106,10-Aug-18,20-Jul-18,Float And Board Level Indicator,2,3520,7040,7040,633.6,633.6,1267.2,8332.2,8332
316,140,11-Aug-18,ARH/A818/107,107,11-Aug-18,,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
317,141,12-Aug-18,ARH/A818/108,108,12-Aug-18,22-Jul-18,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
318,142,13-Aug-18,ARH/A818/109,109,13-Aug-18,13-Aug-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
319,143,14-Aug-18,ARH/A818/110,110,14-Aug-18,24-Jul-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
320,144,15-Aug-18,ARH/A818/111,111,15-Aug-18,,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
321,145,16-Aug-18,ARH/A818/112,112,16-Aug-18,26-Jul-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
322,146,17-Aug-18,ARH/A818/113,113,17-Aug-18,27-Jul-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
323,147,21-Aug-18,ARH/A818/114,114,21-Aug-18,28-Jul-18,Conductivity Float Level Switch,4,11700,46800,44460,4001.4,4001.4,8002.8,52812.8,52812
324,148,21-Aug-18,ARH/A818/115,115,21-Aug-18,29-Jul-18,Miniature Level Switch(SS),1,1502,1502,1502,135.18,135.18,270.36,1772.36,1772
325,149,24-Aug-18,ARH/A818/116,116,24-Aug-18,30-Jul-18,Magnetic Float Level Switch,3,12300,36900,36900,3321,3321,6642,43892,43892
326,150,24-Aug-18,ARH/A818/117,117,24-Aug-18,31-Jul-18,External Chambers,1,4200,4200,4200,378,378,756,4956,4956
327,151,28-Aug-18,ARH/A818/118,118,28-Aug-18,,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
328,152,1-Sep-18,ARH/S918/100,100,1-Sep-18,,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
329,153,6-Sep-18,ARH/S918/101,101,6-Sep-18,1-Sep-18,Side Mount Level Switch,3,6000,18000,18000,1620,1620,3240,21240,21240
330,154,19-Sep-18,ARH/S918/102,102,19-Sep-18,,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
331,155,24-Sep-18,ARH/S918/103,103,24-Sep-18,,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
332,156,5-Oct-18,ARH/O1018/100,100,5-Oct-18,8-Sep-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
333,157,9-Oct-18,ARH/O1018/101,101,9-Oct-18,5-Oct-18,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
334,158,12-Oct-18,ARH/O1018/102,102,12-Oct-18,11-Oct-18,Tubuler Type Level Gauge,3,2900,8700,8700,783,783,1566,10391,10391
335,159,13-Oct-18,ARH/O1018/103,103,13-Oct-18,10-Oct-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
336,160,20-Oct-18,ARH/O1018/104,104,20-Oct-18,13-Sep-18,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
337,161,22-Oct-18,ARH/O1018/105,105,22-Oct-18,25-Oct-18,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
338,162,27-Oct-18,ARH/O1018/106,106,27-Oct-18,20-Sep-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
339,163,29-Oct-18,ARH/O1018/107,107,29-Oct-18,25-Sep-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
340,164,5-Nov-18,ARH/N1118/100,100,5-Nov-18,3-Oct-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
341,165,6-Nov-18,ARH/N1118/101,101,6-Nov-18,4-Oct-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
342,166,7-Nov-18,ARH/N1118/102,102,7-Nov-18,3-Nov-18,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
343,167,8-Nov-18,ARH/N1118/103,103,8-Nov-18,16-Oct-18,Capicitance Type,4,35000,140000,140000,12600,12600,25200,165650,165650
344,168,9-Nov-18,ARH/N1118/104,104,9-Nov-18,19-Oct-18,Float And Board Level Indicator,6,3520,21120,21120,1900.8,1900.8,3801.6,24946.6,24946
345,169,9-Nov-18,ARH/N1118/105,105,9-Nov-18,8-Oct-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
346,170,9-Nov-18,ARH/N1118/106,106,9-Nov-18,9-Oct-18,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
347,171,12-Nov-18,ARH/N1118/107,107,12-Nov-18,5-Nov-18,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
348,172,13-Nov-18,ARH/N1118/108,108,13-Nov-18,19-Oct-18,Float And Board Level Indicator,2,3520,7040,7040,633.6,633.6,1267.2,8332.2,8332
349,173,14-Nov-18,ARH/N1118/109,109,14-Nov-18,12-Oct-18,Conductivity Float Level Switch,1,11700,11700,11115,1000.35,1000.35,2000.7,13465.7,13465
350,174,16-Nov-18,ARH/N1118/110,110,16-Nov-18,13-Oct-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
351,175,16-Nov-18,ARH/N1118/111,111,16-Nov-18,14-Oct-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
352,176,17-Nov-18,ARH/N1118/112,112,17-Nov-18,15-Oct-18,Capicitance Type,2,35000,70000,70000,6300,6300,12600,83050,83050
353,177,21-Nov-18,ARH/N1118/113,113,21-Nov-18,16-Oct-18,Miniature Level Switch(SS),1,1502,1502,1276.7,114.903,114.903,229.806,1506.506,1506
354,178,21-Nov-18,ARH/N1118/114,114,21-Nov-18,17-Oct-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
355,179,21-Nov-18,ARH/N1118/115,115,21-Nov-18,18-Nov-18,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
356,180,21-Nov-18,ARH/N1118/116,116,21-Nov-18,19-Oct-18,Capicitance Type,3,35000,105000,105000,9450,9450,18900,124350,124350
357,181,22-Nov-18,ARH/N1118/117,117,22-Nov-18,20-Oct-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
358,182,23-Nov-18,ARH/N1118/118,118,23-Nov-18,21-Oct-18,Capicitance Type,2,35000,70000,70000,6300,6300,12600,83050,83050
359,183,24-Nov-18,ARH/N1118/119,119,24-Nov-18,25-Oct-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
360,184,29-Nov-18,ARH/N1118/120,120,29-Nov-18,29-Oct-18,Float And Board Level Indicator,2,3520,7040,7040,633.6,633.6,1267.2,8332.2,8332
361,185,3-Dec-18,ARH/D1218/100,100,3-Dec-18,23-Nov-18,Conductivity Float Level Switch,5,11700,58500,55575,5001.75,5001.75,10003.5,65928.5,65928
362,186,4-Dec-18,ARH/D1218/101,101,4-Dec-18,24-Nov-18,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
363,187,5-Dec-18,ARH/D1218/102,102,5-Dec-18,25-Nov-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
364,188,6-Dec-18,ARH/D1218/103,103,6-Dec-18,26-Nov-18,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
365,189,7-Dec-18,ARH/D1218/104,104,7-Dec-18,,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
366,190,8-Dec-18,ARH/D1218/105,105,8-Dec-18,28-Nov-18,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
367,191,10-Dec-18,ARH/D1218/106,106,10-Dec-18,3-Dec-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
368,192,10-Dec-18,ARH/D1218/107,107,10-Dec-18,30-Nov-18,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
369,193,10-Dec-18,ARH/D1218/108,108,10-Dec-18,1-Dec-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
370,194,10-Dec-18,ARH/D1218/109,109,10-Dec-18,2-Nov-18,Magnetic Float Level Switch,6,12300,73800,70110,6309.9,6309.9,12619.8,83079.8,83079
371,195,13-Dec-18,ARH/D1218/110,110,13-Dec-18,,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
372,196,14-Dec-18,ARH/D1218/111,111,14-Dec-18,4-Dec-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
373,197,15-Dec-18,ARH/D1218/112,112,15-Dec-18,5-Dec-18,Miniature Level Switch(SS),1,1502,1502,1502,135.18,135.18,270.36,1772.36,1772
374,198,17-Dec-18,ARH/D1218/113,113,17-Dec-18,6-Nov-18,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
375,199,17-Dec-18,ARH/D1218/114,114,17-Dec-18,7-Dec-18,Magnetic Float Level Switch,3,12300,36900,35055,3154.95,3154.95,6309.9,41714.9,41714
376,200,18-Dec-18,ARH/D1218/115,115,18-Dec-18,8-Dec-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
377,201,19-Dec-18,ARH/D1218/116,116,19-Dec-18,9-Dec-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
378,202,20-Dec-18,ARH/D1218/117,117,20-Dec-18,,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
379,203,21-Dec-18,ARH/D1218/118,118,21-Dec-18,3-Nov-18,Conductivity Float Level Switch,3,11700,35100,35100,3159,3159,6318,41768,41768
380,204,22-Dec-18,ARH/D1218/119,119,22-Dec-18,12-Dec-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
381,205,25-Dec-18,ARH/D1218/120,120,25-Dec-18,13-Dec-18,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
382,206,25-Dec-18,ARH/D1218/121,121,25-Dec-18,14-Dec-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
383,207,25-Dec-18,ARH/D1218/122,122,25-Dec-18,15-Dec-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
384,208,26-Dec-18,ARH/D1218/123,123,26-Dec-18,3-Nov-18,Cable Float Level Switch,1,10053,10053,10053,904.77,904.77,1809.54,12012.54,12012
385,209,27-Dec-18,ARH/D1218/124,124,27-Dec-18,17-Dec-18,Conductivity Float Level Switch,6,11700,70200,66690,6002.1,6002.1,12004.2,79044.2,79044
386,210,28-Dec-18,ARH/D1218/125,125,28-Dec-18,18-Dec-18,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
387,211,29-Dec-18,ARH/D1218/126,126,29-Dec-18,25-Dec-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
388,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
389,1,1-Jan-19,ARH/J117/100,100,3-Jan-19,12-Dec-18,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
390,2,5-Jan-19,ARH/J117/101,101,5-Jan-19,12-Dec-18,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17235,17235
391,3,5-Jan-19,ARH/J117/102,102,5-Jan-19,25-Dec-18,Tubuler Type Level Gauge,2,2900,5800,5510,495.9,495.9,991.8,6501.8,6501
392,4,6-Jan-19,ARH/J117/103,103,6-Jan-19,25-Dec-18,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
393,5,10-Jan-19,ARH/J117/104,104,10-Jan-19,25-Dec-18,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
394,6,11-Jan-19,ARH/J117/105,105,11-Jan-19,25-Dec-18,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
395,7,15-Jan-19,ARH/J117/106,106,15-Jan-19,23-Dec-18,Miniature Level Switch(SS),2,1502,3004,2553.4,229.806,229.806,459.612,3013.012,3013
396,8,16-Jan-19,ARH/J117/107,107,16-Jan-19,10-Dec-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3577,3577
397,9,18-Jan-19,ARH/J117/108,108,18-Jan-19,2-Jan-19,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
398,10,18-Jan-19,ARH/J117/109,109,18-Jan-19,4-Jan-19,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
399,11,18-Jan-19,ARH/J117/110,110,18-Jan-19,1-Dec-19,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3422,3422
400,12,19-Jan-19,ARH/J117/111,111,19-Jan-19,5-Dec-19,External Chambers,1,4200,4200,3990,359.1,359.1,718.2,4708.2,4708
401,13,20-Jan-19,ARH/J117/112,112,20-Jan-19,31-Dec-19,Transparent Level Gauge,1,5600,5600,5600,504,504,1008,6858,6858
402,14,23-Jan-19,ARH/J117/113,113,23-Jan-19,6-Jan-19,Miniature Level Switch(PP),1,1502,1502,1502,135.18,135.18,270.36,1772.36,1772
403,15,24-Jan-19,ARH/J117/114,114,24-Jan-19,5-Jan-19,Tubuler Type Level Gauge,1,2900,2900,2610,234.9,234.9,469.8,3218.8,3218
404,16,27-Jan-19,ARH/J117/115,115,27-Jan-19,14-Jan-19,Tubuler Type Level Gauge,6,2900,17400,17400,1566,1566,3132,20532,20532
405,17,28-Jan-19,ARH/J117/116,116,28-Jan-19,14-Jan-19,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4255,4255
406,18,28-Jan-19,ARH/J117/117,117,28-Jan-19,14-Jan-19,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4130,4130
407,19,28-Jan-19,ARH/J117/118,118,28-Jan-19,15-Jan-19,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17110,17110
408,20,28-Jan-19,ARH/J117/119,119,28-Jan-19,16-Jan-19,Miniature Level Switch(SS),1,1502,1502,1426.9,128.421,128.421,256.842,1983.742,1983
409,21,28-Jan-19,ARH/J117/120,120,28-Jan-19,17-Jan-19,By-Pass Level Indicator,2,3500,7000,6650,598.5,598.5,1197,7847,7847
410,1,3-Feb-19,ARH/F217/100,100,3-Feb-19,18-Jan-19,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
411,2,3-Feb-19,ARH/F217/101,101,3-Feb-19,25-Jan-19,Conductivity Float Level Switch,2,11700,23400,22230,2000.7,2000.7,4001.4,26581.4,26581
412,3,3-Feb-19,ARH/F217/102,102,3-Feb-19,25-Jan-19,Conductivity Level Sensor,1,3600,3600,3600,324,324,648,4348,4348
413,4,8-Feb-19,ARH/F217/103,103,8-Feb-19,26-Jan-19,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
414,5,8-Feb-19,ARH/F217/104,104,8-Feb-19,27-Jan-19,Magnetic Float Level Switch,6,12300,73800,70110,6309.9,6309.9,12619.8,82729.8,82729
415,6,13-Feb-19,ARH/F217/105,105,13-Feb-19,28-Jan-19,Side Mount Level Switch,1,650,650,650,58.5,58.5,117,767,767
416,7,15-Feb-19,ARH/F217/106,106,15-Feb-19,28-Jan-19,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,13806,13806
417,8,15-Feb-19,ARH/F217/107,107,15-Feb-19,28-Jan-19,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
418,9,15-Feb-19,ARH/F217/108,108,15-Feb-19,5-Feb-19,Magnetic Float Level Switch,4,12300,49200,46740,4206.6,4206.6,8413.2,55853.2,55853
419,10,16-Feb-19,ARH/F217/109,109,16-Feb-19,5-Feb-19,Reed Based Level Transmitter,1,6900,6900,6900,621,621,1242,8142,8142
420,11,17-Feb-19,ARH/F217/110,110,17-Feb-19,31-Jan-19,Capacitance Type,2,35000,70000,63000,5670,5670,11340,75240,75240
421,12,18-Feb-19,ARH/F217/111,111,18-Feb-19,15-Jan-19,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
422,13,18-Feb-19,ARH/F217/112,112,18-Feb-19,2-Feb-19,Conductivity Float Level Switch,2,11700,23400,23400,2106,2106,4212,27612,27612
423,14,18-Feb-19,ARH/F217/113,113,18-Feb-19,3-Feb-19,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
424,15,24-Feb-19,ARH/F217/114,114,24-Feb-19,4-Feb-19,Magnetic Float Level Switch,5,12300,61500,61500,5535,5535,11070,72820,72820
425,16,24-Feb-19,ARH/F217/115,115,24-Feb-19,15-Feb-19,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8596,8596
426,17,24-Feb-19,ARH/F217/116,116,24-Feb-19,15-Feb-19,Side Mount Level Switch,2,650,1300,1300,117,117,234,1534,1534
427,18,27-Feb-19,ARH/F217/117,117,27-Feb-19,20-Feb-19,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,14156,14156
428,19,27-Feb-19,ARH/F217/118,118,27-Feb-19,20-Feb-19,Miniature Level Switch,3,2850,8550,8122.5,731.025,731.025,1462.05,9584.55,9584
429,20,28-Feb-19,ARH/F217/119,119,28-Feb-19,20-Feb-19,Magnetic Float Level Switch,2,12300,24600,23370,2103.3,2103.3,4206.6,27926.6,27926
430,1,2-Mar-19,ARH/M317/100,100,2-Mar-19,8-Feb-19,Capicitance Type,1,35000,35000,31500,2835,2835,5670,37620,37620
431,2,2-Mar-19,ARH/M317/101,101,2-Mar-19,8-Feb-19,Conductivity Level Switch,1,4250,4250,4250,382.5,382.5,765,5075,5075
432,3,8-Mar-19,ARH/M317/102,102,8-Mar-19,8-Feb-19,Side Mount Level Switch,5,6000,30000,30000,2700,2700,5400,35400,35400
433,4,15-Mar-19,ARH/M317/103,103,15-Mar-19,8-Feb-19,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
434,5,16-Mar-19,ARH/M317/104,104,15-Mar-19,8-Feb-19,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
435,6,16-Mar-19,ARH/M317/105,105,15-Mar-19,9-Feb-19,Reflex Level Gauge,6,7200,43200,43200,3888,3888,7776,50976,50976
436,7,19-Mar-19,ARH/M317/106,106,19-Mar-19,9-Feb-19,Side Mount Level Switch,2,6000,12000,10800,972,972,1944,12744,12744
437,8,20-Mar-19,ARH/M317/107,107,20-Mar-19,21-Feb-19,Side Mount Level Switch,2,6000,12000,12000,1080,1080,2160,14160,14160
438,9,20-Mar-19,ARH/M317/108,108,20-Mar-19,1-Mar-19,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
439,10,21-Mar-19,ARH/M317/109,109,22-Mar-19,12-Mar-19,Cable Float Level Switch,2,10053,20106,20106,1809.54,1809.54,3619.08,23875.08,23875
440,11,30-Mar-19,ARH/M317/110,110,29-Mar-19,13-Mar-19,Cable Float Level Switch,3,10053,30159,30159,2714.31,2714.31,5428.62,35737.62,35737
441,12,30-Mar-19,ARH/M317/111,111,31-Mar-19,14-Mar-19,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
442,13,31-Mar-19,ARH/M317/112,112,31-Mar-19,15-Mar-19,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17110,17110
443,14,31-Mar-19,ARH/M317/113,113,31-Mar-19,20-Mar-19,Side Mount Level Switch,1,6000,6000,5400,486,486,972,6372,6372
444,1,2-Apr-19,ARH/A417/100,100,3-Apr-19,28-Feb-19,Conductivity Level Sensor,1,3600,3600,3600,324,324,648,4348,4348
445,2,2-Apr-19,ARH/A417/101,101,3-Apr-19,3-Mar-19,Miniature Level Switch,5,2850,14250,14250,1282.5,1282.5,2565,16815,16815
446,3,2-Apr-19,ARH/A417/102,102,3-Apr-19,30-Mar-19,Magnetic Float Level Switch,3,12300,36900,31365,2822.85,2822.85,5645.7,37010.7,37010
447,4,3-Apr-19,ARH/A417/103,103,3-Apr-19,30-Mar-19,Conductivity Float Level Switch,2,11700,23400,19890,1790.1,1790.1,3580.2,23470.2,23470
448,5,3-Apr-19,ARH/A417/104,104,3-Apr-19,30-Mar-19,Conductivity Float Level Switch,4,11700,46800,44460,4001.4,4001.4,8002.8,52912.8,52912
449,6,4-Apr-19,ARH/A417/105,105,3-Apr-19,30-Mar-19,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3463,3463
450,7,4-Apr-19,ARH/A417/106,106,3-Apr-19,30-Mar-19,Reed Based Level Transmitter,1,6900,6900,6900,621,621,1242,8792,8792
451,8,3-Apr-19,ARH/A417/107,107,4-Apr-19,30-Mar-19,Conductivity Float Level Switch,4,11700,46800,42120,3790.8,3790.8,7581.6,49701.6,49701
452,9,4-Apr-19,ARH/A417/108,108,4-Apr-19,30-Mar-19,Conductivity Float Level Switch,1,11700,11700,11700,1053,1053,2106,13806,13806
453,10,12-Apr-19,ARH/A417/109,109,12-Apr-19,30-Mar-19,Conductivity Float Level Switch,5,11700,58500,58500,5265,5265,10530,69030,69030
454,11,18-Apr-19,ARH/A417/110,110,18-Apr-19,30-Mar-19,Magnetic Float Level Switch,2,12300,24600,24600,2214,2214,4428,29028,29028
455,12,19-Apr-19,ARH/A417/111,111,19-Apr-19,4-Apr-19,Miniature Level Switch,3,2850,8550,8550,769.5,769.5,1539,10089,10089
456,13,27-Apr-19,ARH/A417/112,112,27-Apr-19,5-Apr-19,Side Mount Level Switch,2,650,1300,1300,117,117,234,1534,1534
457,14,27-Apr-19,ARH/A417/113,113,27-Apr-19,15-Mar-19,Capicitance Type,1,35000,35000,35000,3150,3150,6300,42000,42000
458,15,27-Apr-19,ARH/A417/114,114,27-Apr-19,9-Apr-19,Magnetic Float Level Switch,2,12300,24600,24600,2214,2214,4428,29028,29028
459,16,28-Apr-19,ARH/A417/115,115,28-Apr-19,20-Mar-19,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41300,41300
460,1,8-May-19,ARH/M517/100,100,8-May-19,5-Apr-19,By-Pass Level Indicator,1,3500,3500,3500,315,315,630,4255,4255
