,Sr.No,Date,Invoice No,Challan No,Challan Date,P.O. Date,Product Name,Qty,Unit Price,Amount,Total Value,CGST(9%),SGST(9%),GST Tax Total,Sub Total,Total
179,3,4-Jan-18,ARH/J118/102,102,4-Jan-18,9-Dec-17,Magnetic Float Level Switch,1,12300,12300,11685,1051.65,1051.65,2103.3,14138.3,14138
180,4,4-Jan-18,ARH/J118/103,103,4-Jan-18,10-Dec-17,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
181,5,8-Jan-18,ARH/J118/104,104,8-Jan-18,3-Jan-18,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41750,41750
182,6,10-Jan-18,ARH/J118/105,105,10-Jan-18,12-Dec-17,Tubuler Type Level Gauge,3,2900,8700,7395,665.55,665.55,1331.1,8851.1,8851
183,7,11-Jan-18,ARH/J118/106,106,11-Jan-18,13-Dec-17,Capicitance Type,1,35000,35000,35000,3150,3150,6300,41300,41300
184,8,12-Jan-18,ARH/J118/107,107,12-Jan-18,14-Dec-17,Conductivity Level Switch,2,4250,8500,8500,765,765,1530,10090,10090
185,9,13-Jan-18,ARH/J118/108,108,13-Jan-18,21-Dec-17,Float And Board Level Indicator,1,3520,3520,3520,316.8,316.8,633.6,4178.6,4178
186,10,15-Jan-18,ARH/J118/109,109,15-Jan-18,16-Dec-17,Tubuler Type Level Gauge,2,2900,5800,5800,522,522,1044,6969,6969
187,11,15-Jan-18,ARH/J118/110,110,15-Jan-18,17-Dec-17,By-Pass Level Indicator,5,3500,17500,17500,1575,1575,3150,20650,20650
188,12,15-Jan-18,ARH/J118/111,111,15-Jan-18,12-Jan-18,Reflex Level Gauge,1,7200,7200,7200,648,648,1296,8496,8496
189,13,16-Jan-18,ARH/J118/112,112,16-Jan-18,19-Dec-17,Tubuler Type Level Gauge,5,2900,14500,14500,1305,1305,2610,17235,17235
190,14,19-Jan-18,ARH/J118/113,113,19-Jan-18,20-Dec-17,Tubuler Type Level Gauge,2,2900,5800,5220,469.8,469.8,939.6,6284.6,6284
191,15,20-Jan-18,ARH/J118/114,114,20-Jan-18,21-Dec-17,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
192,16,20-Jan-18,ARH/J118/115,115,20-Jan-18,22-Dec-17,By-Pass Level Indicator,3,3500,10500,10500,945,945,1890,12390,12390
193,17,27-Jan-18,ARH/J118/116,116,27-Jan-18,30-Dec-17,Transparent Level Gauge,1,85000,85000,85000,7650,7650,15300,100300,100300
194,18,1-Feb-18,ARH/F218/100,100,1-Feb-18,3-Jan-18,Magnetic Float Level Switch,5,12300,61500,52275,4704.75,4704.75,9409.5,62034.5,62034
195,19,2-Feb-18,ARH/F218/101,101,2-Feb-18,4-Jan-18,Conductivity Float Level Switch,3,11700,35100,35100,3159,3159,6318,41768,41768
196,20,3-Feb-18,ARH/F218/102,102,3-Feb-18,5-Jan-18,Side Mount Level Switch,1,6000,6000,6000,540,540,1080,7080,7080
197,21,6-Feb-18,ARH/F218/103,103,6-Feb-18,15-Jan-18,Miniature Level Switch,1,2850,2850,2850,256.5,256.5,513,3363,3363
198,22,7-Feb-18,ARH/F218/104,104,7-Feb-18,7-Jan-18,External Chambers,1,4200,4200,4200,378,378,756,4956,4956
199,23,8-Feb-18,ARH/F218/105,105,8-Feb-18,8-Jan-18,Transparent Level Gauge,2,85000,170000,170000,15300,15300,30600,200600,200600
200,24,9-Feb-18,ARH/F218/106,106,9-Feb-18,17-Jan-18,Reflex Level Gauge,1,7200,7200,6480,583.2,583.2,1166.4,7646.4,7646
201,25,10-Feb-18,ARH/F218/107,107,10-Feb-18,10-Jan-18,Magnetic Float Level Switch,4,12300,49200,49200,4428,4428,8856,58406,58406
202,26,12-Feb-18,ARH/F218/108,108,12-Feb-18,11-Jan-18,Conductivity Float Level Switch,5,11700,58500,58500,5265,5265,10530,69380,69380
203,27,12-Feb-18,ARH/F218/109,109,12-Feb-18,8-Feb-18,Tubuler Type Level Gauge,1,2900,2900,2900,261,261,522,3547,3547
